Unnamed:0,DESA_1,year,population
192,NANGERANG,2012,1957
193,SIMPANG,2012,1897
194,SAKAMBANG,2012,1596
195,NAGROG,2012,2343
196,CIBUNTU,2012,1444
197,SUMURUGUL,2012,1640
198,RAHARJA,2012,1347
199,WANAYASA,2012,5386
200,BABAKAN,2012,3831
201,WANASARI,2012,3053
202,LEGOKHUNI,2012,2516
203,CIAWI,2012,2913
204,SUKADAMI,2012,3117
205,TARINGGUL TONGGOH,2012,3442
206,TARINGGUL TENGAH,2012,3215
207,JATIMEKAR,2012,3980
208,CIKAOBANDUNG,2012,5132
209,JATILUHUR,2012,3597
210,CILEGONG,2012,5055
211,KEMBANGKUNING,2012,9615
212,CIBINONG,2012,4379
213,PARAKANLIMA,2012,4759
214,CISALADA,2012,6233
215,MEKARGALIH,2012,8867
216,BUNDER,2012,10698
217,PUSAKAMULYA,2012,4023
218,PARAKAN GAROKGEK,2012,3000
219,CIRACAS,2012,2318
220,KIARAPEDES,2012,2720
221,CIBEBER,2012,1945
222,SUMBERSARI,2012,1540
223,MEKARJAYA,2012,1888
224,MARGALUYU,2012,2422
225,GARDU,2012,1884
226,TARINGGUL LANDEUH,2012,1854
227,PARUNGBANTENG,2012,2558
228,SUKASARI,2012,3393
229,CIRIRIP,2012,2984
230,KERTAMANAH,2012,2504
231,KUTAMANAH,2012,3268
232,CIBINGBIN,2012,4411
233,BOJONG TIMUR,2012,3970
234,PASANGGRAHAN,2012,2345
235,CIHANJAWAR,2012,1352
236,CIKERIS,2012,2731
237,BOJONG BARAT,2012,3395
238,PANGKALAN,2012,2415
239,SUKAMANAH,2012,3254
240,PAWENANG,2012,2817
241,SINDANGSARI,2012,3055
242,SINDANGPANON,2012,5873
243,CIPEUNDEUY,2012,4526
244,CILEUNCA,2012,3480
245,KERTASARI,2012,4030
246,SINDANGKASIH,2012,17614
247,NAGERI KIDUL,2012,14590
248,NAGERI TENGAH,2012,10900
249,CIPAISAN,2012,9771
250,NAGERI KALER,2012,22500
251,TEGALMUNJUL,2012,12138
252,CITALANG,2012,6463
253,MUNJULJAYA,2012,17045
254,CISEUREUH,2012,28724
255,PURWAMEKAR,2012,7752
256,MARACANG,2012,5234
257,CIWARENG,2012,7804
258,MULYAMEKAR,2012,7447
259,CIGELAM,2012,5757
260,BABAKANCIKAO,2012,4038
261,KADUMEKAR,2012,1488
262,HEGARMANAH,2012,2879
263,CICADAS,2012,5465
264,CILANGKAP,2012,5893
265,BUNGUR JAYA,2012,1709
266,PONDOKBUNGUR,2012,2843
267,SALEM,2012,2812
268,GALUDRA,2012,1143
269,SUKAJADI,2012,2499
270,TANJUNGSARI,2012,4285
271,SALAM JAYA,2012,2454
272,SITU,2012,2070
273,PARAKANSALAM,2012,1537
274,SALAM MULYA,2012,3019
275,GURUDUG,2012,2344
276,CIHERANG,2012,3947
277,CIDAHU,2012,1600
