Unnamed:0,DESA_1,year,population
837,KADUMEKAR,2015,1906
838,HEGARMANAH,2015,2921
839,CICADAS,2015,3853
840,CILANGKAP,2015,5996
841,BUNGUR JAYA,2015,2006
842,PONDOKBUNGUR,2015,3217
843,SALEM,2015,3727
844,GALUDRA,2015,1336
845,SUKAJADI,2015,2695
846,TANJUNGSARI,2015,4263
847,SALAM JAYA,2015,3229
848,SITU,2015,2425
849,PARAKANSALAM,2015,1554
850,SALAM MULYA,2015,3022
851,GURUDUG,2015,2470
852,CIHERANG,2015,4002
853,CIDAHU,2015,1627
854,PASAWAHAN ANYAR,2015,1887
855,PASAWAHANKIDUL,2015,3271
856,SAWAH KULON,2015,5487
857,KERTAJAYA,2015,4653
858,LEBAKANYAR,2015,4928
859,CIHUNI,2015,3513
860,WARUNGKADU,2015,2390
861,SELAAWI,2015,4892
862,MARGASARI,2015,3435
863,PASAWAHAN,2015,4340
864,CIRENDE,2015,2296
865,BENTENG,2015,3061
866,CAMPAKA,2015,4198
867,CAMPAKASARI,2015,5551
868,CIJUNTI,2015,5988
869,CISAAT,2015,4147
870,CIMAHI,2015,5650
871,CIKUMPAY,2015,6349
872,CIJAYA,2015,4798
873,KERTAMUKTI,2015,4468
874,WANAWALI,2015,1615
875,CIKADU,2015,2229
876,CIBUKAMANAH,2015,2133
877,CIRANGKONG,2015,3312
878,CIPANCUR,2015,1819
879,CIPINANG,2015,4074
880,CIPARUNGSARI,2015,3058
881,KARYAMEKAR,2015,3450
882,CIBATU,2015,3025
883,CILANDAK,2015,4301
884,PASIRANGIN,2015,5618
885,NANGEWER,2015,6019
886,NEGLASARI,2015,4167
887,LINGGASARI,2015,4080
888,SAWIT,2015,3743
889,SIRNAMANAH,2015,2084
890,DEPOK,2015,6809
891,LEGOKSARI,2015,2218
892,MEKARSARI,2015,4986
893,GUNUNGHEJO,2015,3068
894,DARANGDAN,2015,6863
895,SADARKARYA,2015,2837
896,LINGGAMUKTI,2015,3032
897,CILINGGA,2015,4535
898,NAGRAK,2015,6890
899,TEGALDATAR,2015,4737
900,SINARGALIH,2015,5252
901,CITAMIANG,2015,3623
902,CIJATI,2015,2241
903,GUNUNGKARUNG,2015,3791
904,PASIRJAMBU,2015,2939
905,CIRAMAHILIR,2015,2991
906,SUKAMUKTI,2015,2738
907,SUKAHAJI,2015,2617
908,KAROYA,2015,4685
909,CADASSARI,2015,2746
910,CADASMEKAR,2015,3846
911,CITALANG,2015,4317
912,BATUTUMPANG,2015,4973
913,TEGALWARU,2015,2842
914,TEGALSARI,2015,2842
915,WARUNGJERUK,2015,4205
916,GALUMPIT,2015,2476
917,CISARUA,2015,4744
918,SUKAMULYA,2015,5537
919,PASANGGRAHAN,2015,3168
920,RAWASARI,2015,3500
921,GANDASOLI,2015,3773
922,GANDAMEKAR,2015,3357
923,CIBOGOHILIR,2015,6724
924,PALINGGIHAN,2015,4721
925,BABAKAN SARI,2015,3128
926,P L E R E D,2015,5610
927,SINDANGSARI,2015,5569
928,CITEKO,2015,4904
929,CITEKOKALER,2015,3509
930,LINGGARSARI,2015,4827
931,PAMOYANAN,2015,7034
932,LIUNGGUNUNG,2015,6327
933,ANJUN,2015,5525
934,CIBOGO GIRANG,2015,7307
935,SEMPUR,2015,5453
936,CIANTING,2015,5311
937,PASIRMUNJUL,2015,3582
938,CIBODAS,2015,4077
939,CIANTING UTARA,2015,3032
940,SUKATANI,2015,12357
941,MALANGNENGAH,2015,5465
942,CILALAWI,2015,4821
943,SUKAMAJU,2015,3409
944,CIPICUNG,2015,3246
945,TAJURSINDANG,2015,6708
946,SINDANGLAYA,2015,3994
947,PANYINDANGAN,2015,5462
948,SUKAJAYA,2015,4923
949,CIJANTUNG,2015,4191
950,CIWANGI,2015,12275
951,CIBENING,2015,10578
952,BUNGURSARI,2015,3361
953,CIBUNGUR,2015,3439
954,DANGDEUR,2015,2150
955,WANAKERTA,2015,4123
956,CINANGKA,2015,3963
957,CIKOPO,2015,7379
958,KARANGMUKTI,2015,2716
959,CIBODAS,2015,6854
960,NANGERANG,2016,2086
961,SIMPANG,2016,1896
962,SAKAMBANG,2016,1583
963,NAGROG,2016,2417
964,CIBUNTU,2016,1574
965,SUMURUGUL,2016,1725
966,RAHARJA,2016,1384
967,WANAYASA,2016,5217
968,BABAKAN,2016,3860
969,WANASARI,2016,3789
970,LEGOKHUNI,2016,2958
971,CIAWI,2016,2967
972,SUKADAMI,2016,3616
973,TARINGGUL TONGGOH,2016,3617
974,TARINGGUL TENGAH,2016,3211
975,JATIMEKAR,2016,3938
976,CIKAOBANDUNG,2016,5147
977,JATILUHUR,2016,3743
978,CILEGONG,2016,5378
979,KEMBANGKUNING,2016,9794
980,CIBINONG,2016,4692
981,PARAKANLIMA,2016,5844
982,CISALADA,2016,6855
983,MEKARGALIH,2016,9280
984,BUNDER,2016,12368
985,PUSAKAMULYA,2016,4488
986,PARAKAN GAROKGEK,2016,3007
987,CIRACAS,2016,2787
988,KIARAPEDES,2016,2869
989,CIBEBER,2016,2145
990,SUMBERSARI,2016,1868
991,MEKARJAYA,2016,2551
992,MARGALUYU,2016,2637
993,GARDU,2016,2133
994,TARINGGUL LANDEUH,2016,2057
995,PARUNGBANTENG,2016,3201
996,SUKASARI,2016,2631
997,CIRIRIP,2016,3370
998,KERTAMANAH,2016,2800
999,KUTAMANAH,2016,3264
1000,CIBINGBIN,2016,4745
1001,BOJONG TIMUR,2016,3952
1002,PASANGGRAHAN,2016,2354
1003,CIHANJAWAR,2016,2344
1004,CIKERIS,2016,2829
1005,BOJONG BARAT,2016,3309
1006,PANGKALAN,2016,2567
1007,SUKAMANAH,2016,2712
1008,PAWENANG,2016,2872
1009,SINDANGSARI,2016,3184
1010,SINDANGPANON,2016,6099
1011,CIPEUNDEUY,2016,4556
1012,CILEUNCA,2016,3720
1013,KERTASARI,2016,4210
1014,SINDANGKASIH,2016,17998
1015,NAGERI KIDUL,2016,14244
1016,NAGERI TENGAH,2016,12758
1017,CIPAISAN,2016,8605
1018,NAGERI KALER,2016,21078
1019,TEGALMUNJUL,2016,12163
1020,CITALANG,2016,6821
1021,MUNJULJAYA,2016,17359
1022,CISEUREUH,2016,26701
1023,PURWAMEKAR,2016,6883
1024,MARACANG,2016,5309
1025,CIWARENG,2016,8312
1026,MULYAMEKAR,2016,10068
1027,CIGELAM,2016,6077
1028,BABAKANCIKAO,2016,4147
1029,KADUMEKAR,2016,1902
1030,HEGARMANAH,2016,3085
1031,CICADAS,2016,5647
1032,CILANGKAP,2016,5904
1033,BUNGUR JAYA,2016,2127
1034,PONDOKBUNGUR,2016,3361
1035,SALEM,2016,3932
1036,GALUDRA,2016,1396
1037,SUKAJADI,2016,2858
1038,TANJUNGSARI,2016,4518
1039,SALAM JAYA,2016,3375
1040,SITU,2016,2546
1041,PARAKANSALAM,2016,1640
1042,SALAM MULYA,2016,3219
1043,GURUDUG,2016,2587
1044,CIHERANG,2016,4127
1045,CIDAHU,2016,1674
1046,PASAWAHAN ANYAR,2016,1967
1047,PASAWAHANKIDUL,2016,3431
1048,SAWAH KULON,2016,5494
1049,KERTAJAYA,2016,4760
1050,LEBAKANYAR,2016,5768
1051,CIHUNI,2016,2699
1052,WARUNGKADU,2016,2455
1053,SELAAWI,2016,4645
1054,MARGASARI,2016,3757
1055,PASAWAHAN,2016,4369
1056,CIRENDE,2016,2048
1057,BENTENG,2016,3121
1058,CAMPAKA,2016,4089
1059,CAMPAKASARI,2016,5596
1060,CIJUNTI,2016,4786
1061,CISAAT,2016,3695
1062,CIMAHI,2016,5735
1063,CIKUMPAY,2016,6283
1064,CIJAYA,2016,4852
1065,KERTAMUKTI,2016,3574
1066,WANAWALI,2016,1684
1067,CIKADU,2016,2250
1068,CIBUKAMANAH,2016,2057
1069,CIRANGKONG,2016,3271
1070,CIPANCUR,2016,1854
1071,CIPINANG,2016,4088
1072,CIPARUNGSARI,2016,3093
1073,KARYAMEKAR,2016,3396
1074,CIBATU,2016,2696
1075,CILANDAK,2016,5212
1076,PASIRANGIN,2016,5596
1077,NANGEWER,2016,6273
1078,NEGLASARI,2016,4114
1079,LINGGASARI,2016,4132
1080,SAWIT,2016,3894
1081,SIRNAMANAH,2016,1976
1082,DEPOK,2016,6820
1083,LEGOKSARI,2016,2236
1084,MEKARSARI,2016,5078
1085,GUNUNGHEJO,2016,3099
1086,DARANGDAN,2016,6938
1087,SADARKARYA,2016,2868
1088,LINGGAMUKTI,2016,2994
1089,CILINGGA,2016,4224
1090,NAGRAK,2016,6935
1091,TEGALDATAR,2016,5283
1092,SINARGALIH,2016,5882
1093,CITAMIANG,2016,3808
1094,CIJATI,2016,2396
1095,GUNUNGKARUNG,2016,4139
1096,PASIRJAMBU,2016,3508
1097,CIRAMAHILIR,2016,3261
1098,SUKAMUKTI,2016,2968
1099,SUKAHAJI,2016,2686
1100,KAROYA,2016,4814
1101,CADASSARI,2016,2918
1102,CADASMEKAR,2016,4080
1103,CITALANG,2016,4675
1104,BATUTUMPANG,2016,5646
1105,TEGALWARU,2016,2849
1106,TEGALSARI,2016,2484
1107,WARUNGJERUK,2016,4818
1108,GALUMPIT,2016,2638
1109,CISARUA,2016,4575
1110,SUKAMULYA,2016,5665
1111,PASANGGRAHAN,2016,3210
1112,RAWASARI,2016,3500
1113,GANDASOLI,2016,3773
1114,GANDAMEKAR,2016,3357
1115,CIBOGOHILIR,2016,6724
1116,PALINGGIHAN,2016,4721
1117,BABAKAN SARI,2016,3128
1118,P L E R E D,2016,5610
1119,SINDANGSARI,2016,5569
1120,CITEKO,2016,4904
1121,CITEKOKALER,2016,3509
1122,LINGGARSARI,2016,4827
1123,PAMOYANAN,2016,7034
1124,LIUNGGUNUNG,2016,6327
1125,ANJUN,2016,5525
1126,CIBOGO GIRANG,2016,7307
1127,SEMPUR,2016,5453
1128,CIANTING,2016,5349
1129,PASIRMUNJUL,2016,3600
1130,CIBODAS,2016,4097
1131,CIANTING UTARA,2016,3039
1132,SUKATANI,2016,12387
1133,MALANGNENGAH,2016,5488
1134,CILALAWI,2016,4838
1135,SUKAMAJU,2016,3421
1136,CIPICUNG,2016,3256
1137,TAJURSINDANG,2016,6741
1138,SINDANGLAYA,2016,4018
1139,PANYINDANGAN,2016,5484
1140,SUKAJAYA,2016,4940
1141,CIJANTUNG,2016,4225
1142,CIWANGI,2016,12828
1143,CIBENING,2016,11067
1144,BUNGURSARI,2016,3361
1145,CIBUNGUR,2016,3525
1146,DANGDEUR,2016,2289
1147,WANAKERTA,2016,3911
1148,CINANGKA,2016,3963
1149,CIKOPO,2016,7710
1150,KARANGMUKTI,2016,2716
1151,CIBODAS,2016,6854
1152,NANGERANG,2017,2086
1153,SIMPANG,2017,1896
1154,SAKAMBANG,2017,1583
1155,NAGROG,2017,2417
1156,CIBUNTU,2017,1574
1157,SUMURUGUL,2017,1725
1158,RAHARJA,2017,1384
1159,WANAYASA,2017,5217
1160,BABAKAN,2017,3860
1161,WANASARI,2017,3789
1162,LEGOKHUNI,2017,2958
1163,CIAWI,2017,2967
1164,SUKADAMI,2017,3616
1165,TARINGGUL TONGGOH,2017,3617
1166,TARINGGUL TENGAH,2017,3211
1167,JATIMEKAR,2017,4446
1168,CIKAOBANDUNG,2017,6532
1169,JATILUHUR,2017,4459
1170,CILEGONG,2017,5531
1171,KEMBANGKUNING,2017,12195
1172,CIBINONG,2017,5531
1173,PARAKANLIMA,2017,6821
1174,CISALADA,2017,7912
1175,MEKARGALIH,2017,11006
1176,BUNDER,2017,13680
1177,PUSAKAMULYA,2017,4508
1178,PARAKAN GAROKGEK,2017,3002
1179,CIRACAS,2017,2855
1180,KIARAPEDES,2017,2908
1181,CIBEBER,2017,2068
1182,SUMBERSARI,2017,1824
1183,MEKARJAYA,2017,2548
1184,MARGALUYU,2017,2676
1185,GARDU,2017,1934
1186,TARINGGUL LANDEUH,2017,2083
1187,PARUNGBANTENG,2017,3901
1188,SUKASARI,2017,3545
1189,CIRIRIP,2017,4010
1190,KERTAMANAH,2017,3248
1191,KUTAMANAH,2017,3514
1192,CIBINGBIN,2017,3434
1193,BOJONG TIMUR,2017,3792
1194,PASANGGRAHAN,2017,2333
1195,CIHANJAWAR,2017,2343
1196,CIKERIS,2017,2820
1197,BOJONG BARAT,2017,3289
1198,PANGKALAN,2017,2663
1199,SUKAMANAH,2017,2720
1200,PAWENANG,2017,2872
1201,SINDANGSARI,2017,3329
1202,SINDANGPANON,2017,6114
1203,CIPEUNDEUY,2017,4562
1204,CILEUNCA,2017,3753
1205,KERTASARI,2017,4454
1206,SINDANGKASIH,2017,19199
1207,NAGERI KIDUL,2017,15003
1208,NAGERI TENGAH,2017,12975
1209,CIPAISAN,2017,8159
1210,NAGERI KALER,2017,21293
1211,TEGALMUNJUL,2017,14266
1212,CITALANG,2017,9637
1213,MUNJULJAYA,2017,19761
1214,CISEUREUH,2017,36401
1215,PURWAMEKAR,2017,9308
1216,MARACANG,2017,5513
1217,CIWARENG,2017,8548
1218,MULYAMEKAR,2017,10213
1219,CIGELAM,2017,6467
1220,BABAKANCIKAO,2017,4071
1221,KADUMEKAR,2017,1902
1222,HEGARMANAH,2017,2887
1223,CICADAS,2017,4719
1224,CILANGKAP,2017,6162
1225,BUNGUR JAYA,2017,2126
1226,PONDOKBUNGUR,2017,3361
1227,SALEM,2017,2719
1228,GALUDRA,2017,1396
1229,SUKAJADI,2017,2857
1230,TANJUNGSARI,2017,4459
1231,SALAM JAYA,2017,3375
1232,SITU,2017,2546
1233,PARAKANSALAM,2017,1639
1234,SALAM MULYA,2017,3272
1235,GURUDUG,2017,2586
1236,CIHERANG,2017,4127
1237,CIDAHU,2017,1674
1238,PASAWAHAN ANYAR,2017,1967
1239,PASAWAHANKIDUL,2017,3431
1240,SAWAH KULON,2017,5675
1241,KERTAJAYA,2017,4760
1242,LEBAKANYAR,2017,5768
1243,CIHUNI,2017,2699
1244,WARUNGKADU,2017,2455
1245,SELAAWI,2017,4645
1246,MARGASARI,2017,3757
1247,PASAWAHAN,2017,4369
1248,CIRENDE,2017,2078
1249,BENTENG,2017,2988
1250,CAMPAKA,2017,4104
1251,CAMPAKASARI,2017,5280
1252,CIJUNTI,2017,5706
1253,CISAAT,2017,3699
1254,CIMAHI,2017,5812
1255,CIKUMPAY,2017,6508
1256,CIJAYA,2017,4501
1257,KERTAMUKTI,2017,3785
1258,WANAWALI,2017,1588
1259,CIKADU,2017,2102
1260,CIBUKAMANAH,2017,2057
1261,CIRANGKONG,2017,3150
1262,CIPANCUR,2017,1639
1263,CIPINANG,2017,4088
1264,CIPARUNGSARI,2017,2997
1265,KARYAMEKAR,2017,2960
1266,CIBATU,2017,2696
1267,CILANDAK,2017,3924
1268,PASIRANGIN,2017,5753
1269,NANGEWER,2017,6395
1270,NEGLASARI,2017,4101
1271,LINGGASARI,2017,4144
1272,SAWIT,2017,3903
1273,SIRNAMANAH,2017,2041
1274,DEPOK,2017,6862
1275,LEGOKSARI,2017,2240
1276,MEKARSARI,2017,5026
1277,GUNUNGHEJO,2017,3129
1278,DARANGDAN,2017,6956
1279,SADARKARYA,2017,2906
1280,LINGGAMUKTI,2017,2996
1281,CILINGGA,2017,4589
1282,NAGRAK,2017,6957
1283,TEGALDATAR,2017,5300
1284,SINARGALIH,2017,5593
1285,CITAMIANG,2017,3912
1286,CIJATI,2017,2570
1287,GUNUNGKARUNG,2017,4478
1288,PASIRJAMBU,2017,3838
1289,CIRAMAHILIR,2017,3738
1290,SUKAMUKTI,2017,2968
1291,SUKAHAJI,2017,2690
1292,KAROYA,2017,5015
1293,CADASSARI,2017,2711
1294,CADASMEKAR,2017,4082
1295,CITALANG,2017,4886
1296,BATUTUMPANG,2017,5665
1297,TEGALWARU,2017,2882
1298,TEGALSARI,2017,2518
1299,WARUNGJERUK,2017,4783
1300,GALUMPIT,2017,2719
1301,CISARUA,2017,4616
1302,SUKAMULYA,2017,5682
1303,PASANGGRAHAN,2017,3235
1304,RAWASARI,2017,2811
1305,GANDASOLI,2017,3783
1306,GANDAMEKAR,2017,3448
1307,CIBOGOHILIR,2017,7644
1308,PALINGGIHAN,2017,5218
1309,BABAKAN SARI,2017,3386
1310,P L E R E D,2017,4793
1311,SINDANGSARI,2017,5150
1312,CITEKO,2017,4437
1313,CITEKOKALER,2017,3787
1314,LINGGARSARI,2017,4420
1315,PAMOYANAN,2017,5944
1316,LIUNGGUNUNG,2017,6179
1317,ANJUN,2017,5781
1318,CIBOGO GIRANG,2017,8625
1319,SEMPUR,2017,5196
1320,CIANTING,2017,5457
1321,PASIRMUNJUL,2017,3612
1322,CIBODAS,2017,4097
1323,CIANTING UTARA,2017,3056
1324,SUKATANI,2017,12423
1325,MALANGNENGAH,2017,5494
1326,CILALAWI,2017,4882
1327,SUKAMAJU,2017,3429
1328,CIPICUNG,2017,3270
1329,TAJURSINDANG,2017,6751
1330,SINDANGLAYA,2017,4058
1331,PANYINDANGAN,2017,5496
1332,SUKAJAYA,2017,4970
1333,CIJANTUNG,2017,4226
1334,CIWANGI,2017,14728
1335,CIBENING,2017,11837
1336,BUNGURSARI,2017,3871
1337,CIBUNGUR,2017,3815
1338,DANGDEUR,2017,2291
1339,WANAKERTA,2017,4124
1340,CINANGKA,2017,4473
1341,CIKOPO,2017,7787
1342,KARANGMUKTI,2017,3076
1343,CIBODAS,2017,7255
1344,NANGERANG,2018,2044
1345,SIMPANG,2018,1925
1346,SAKAMBANG,2018,1498
1347,NAGROG,2018,2415
1348,CIBUNTU,2018,1571
1349,SUMURUGUL,2018,1719
1350,RAHARJA,2018,1440
1351,WANAYASA,2018,5191
1352,BABAKAN,2018,3496
1353,WANASARI,2018,3431
1354,LEGOKHUNI,2018,2621
1355,CIAWI,2018,2909
1356,SUKADAMI,2018,3461
1357,TARINGGUL TONGGOH,2018,3520
1358,TARINGGUL TENGAH,2018,3569
1359,JATIMEKAR,2018,3756
1360,CIKAOBANDUNG,2018,5704
1361,JATILUHUR,2018,4060
1362,CILEGONG,2018,5658
1363,KEMBANGKUNING,2018,10531
1364,CIBINONG,2018,4908
1365,PARAKANLIMA,2018,5967
1366,CISALADA,2018,6458
1367,MEKARGALIH,2018,9154
1368,BUNDER,2018,11689
1369,PUSAKAMULYA,2018,4436
1370,PARAKAN GAROKGEK,2018,3182
1371,CIRACAS,2018,2829
1372,KIARAPEDES,2018,2979
1373,CIBEBER,2018,2175
1374,SUMBERSARI,2018,1806
1375,MEKARJAYA,2018,2497
1376,MARGALUYU,2018,2666
1377,GARDU,2018,2038
1378,TARINGGUL LANDEUH,2018,1932
1379,PARUNGBANTENG,2018,2627
1380,SUKASARI,2018,3545
1381,CIRIRIP,2018,3841
1382,KERTAMANAH,2018,2800
1383,KUTAMANAH,2018,3244
1384,CIBINGBIN,2018,4648
1385,BOJONG TIMUR,2018,4082
1386,PASANGGRAHAN,2018,2388
1387,CIHANJAWAR,2018,2274
1388,CIKERIS,2018,2726
1389,BOJONG BARAT,2018,3491
1390,PANGKALAN,2018,2432
1391,SUKAMANAH,2018,2760
1392,PAWENANG,2018,2800
1393,SINDANGSARI,2018,3100
1394,SINDANGPANON,2018,5578
1395,CIPEUNDEUY,2018,4212
1396,CILEUNCA,2018,3520
1397,KERTASARI,2018,4409
1398,SINDANGKASIH,2018,19199
1399,NAGERI KIDUL,2018,15108
1400,NAGERI TENGAH,2018,10830
1401,CIPAISAN,2018,11884
1402,NAGERI KALER,2018,24217
1403,TEGALMUNJUL,2018,14266
1404,CITALANG,2018,9637
1405,MUNJULJAYA,2018,19761
1406,CISEUREUH,2018,36401
1407,PURWAMEKAR,2018,9308
1408,MARACANG,2018,7982
1409,CIWARENG,2018,8650
1410,MULYAMEKAR,2018,8932
1411,CIGELAM,2018,5954
1412,BABAKANCIKAO,2018,4561
1413,KADUMEKAR,2018,1824
1414,HEGARMANAH,2018,3065
1415,CICADAS,2018,5505
1416,CILANGKAP,2018,6266
1417,BUNGUR JAYA,2018,1967
1418,PONDOKBUNGUR,2018,2917
1419,SALEM,2018,3187
1420,GALUDRA,2018,1322
1421,SUKAJADI,2018,2590
1422,TANJUNGSARI,2018,4559
1423,SALAM JAYA,2018,2599
1424,SITU,2018,2325
1425,PARAKANSALAM,2018,1639
1426,SALAM MULYA,2018,3317
1427,GURUDUG,2018,2469
1428,CIHERANG,2018,3917
1429,CIDAHU,2018,1597
1430,PASAWAHAN ANYAR,2018,1912
1431,PASAWAHANKIDUL,2018,3458
1432,SAWAH KULON,2018,4862
1433,KERTAJAYA,2018,4597
1434,LEBAKANYAR,2018,5142
1435,CIHUNI,2018,3621
1436,WARUNGKADU,2018,2606
1437,SELAAWI,2018,4727
1438,MARGASARI,2018,4032
1439,PASAWAHAN,2018,5176
1440,CIRENDE,2018,2035
1441,BENTENG,2018,2945
1442,CAMPAKA,2018,4246
1443,CAMPAKASARI,2018,5280
1444,CIJUNTI,2018,5027
1445,CISAAT,2018,3990
1446,CIMAHI,2018,5325
1447,CIKUMPAY,2018,6185
1448,CIJAYA,2018,4501
1449,KERTAMUKTI,2018,4065
1450,WANAWALI,2018,1631
1451,CIKADU,2018,2209
1452,CIBUKAMANAH,2018,2083
1453,CIRANGKONG,2018,3266
1454,CIPANCUR,2018,1718
1455,CIPINANG,2018,4647
1456,CIPARUNGSARI,2018,3238
1457,KARYAMEKAR,2018,3163
1458,CIBATU,2018,3053
1459,CILANDAK,2018,4884
1460,PASIRANGIN,2018,5753
1461,NANGEWER,2018,6395
1462,NEGLASARI,2018,4101
1463,LINGGASARI,2018,4144
1464,SAWIT,2018,3903
1465,SIRNAMANAH,2018,2041
1466,DEPOK,2018,6862
1467,LEGOKSARI,2018,2240
1468,MEKARSARI,2018,5026
1469,GUNUNGHEJO,2018,3129
1470,DARANGDAN,2018,6956
1471,SADARKARYA,2018,2906
1472,LINGGAMUKTI,2018,2996
1473,CILINGGA,2018,4589
1474,NAGRAK,2018,6957
1475,TEGALDATAR,2018,5697
1476,SINARGALIH,2018,6305
1477,CITAMIANG,2018,3997
1478,CIJATI,2018,2540
1479,GUNUNGKARUNG,2018,4329
1480,PASIRJAMBU,2018,3727
1481,CIRAMAHILIR,2018,3353
1482,SUKAMUKTI,2018,3030
1483,SUKAHAJI,2018,2748
1484,KAROYA,2018,4709
1485,CADASSARI,2018,2786
1486,CADASMEKAR,2018,3225
1487,CITALANG,2018,4676
1488,BATUTUMPANG,2018,2288
1489,TEGALWARU,2018,2780
1490,TEGALSARI,2018,2633
1491,WARUNGJERUK,2018,4620
1492,GALUMPIT,2018,2691
1493,CISARUA,2018,4401
1494,SUKAMULYA,2018,5581
1495,PASANGGRAHAN,2018,3043
1496,RAWASARI,2018,3148
1497,GANDASOLI,2018,3489
1498,GANDAMEKAR,2018,3311
1499,CIBOGOHILIR,2018,6949
1500,PALINGGIHAN,2018,5083
1501,BABAKAN SARI,2018,3038
1502,P L E R E D,2018,5010
1503,SINDANGSARI,2018,5337
1504,CITEKO,2018,4906
1505,CITEKOKALER,2018,3611
1506,LINGGARSARI,2018,4315
1507,PAMOYANAN,2018,5885
1508,LIUNGGUNUNG,2018,5819
1509,ANJUN,2018,4616
1510,CIBOGO GIRANG,2018,7528
1511,SEMPUR,2018,5273
1512,CIANTING,2018,6772
1513,PASIRMUNJUL,2018,3270
1514,CIBODAS,2018,4047
1515,CIANTING UTARA,2018,2894
1516,SUKATANI,2018,12387
1517,MALANGNENGAH,2018,5174
1518,CILALAWI,2018,4290
1519,SUKAMAJU,2018,3527
1520,CIPICUNG,2018,3125
1521,TAJURSINDANG,2018,5365
1522,SINDANGLAYA,2018,3892
1523,PANYINDANGAN,2018,5936
1524,SUKAJAYA,2018,5077
1525,CIJANTUNG,2018,4608
1526,CIWANGI,2018,10253
1527,CIBENING,2018,10927
1528,BUNGURSARI,2018,3422
1529,CIBUNGUR,2018,3485
1530,DANGDEUR,2018,2149
1531,WANAKERTA,2018,3726
1532,CINANGKA,2018,3692
1533,CIKOPO,2018,6922
1534,KARANGMUKTI,2018,2615
1535,CIBODAS,2018,5991
1536,NANGERANG,2019,2097
1537,SIMPANG,2019,1891
1538,SAKAMBANG,2019,1592
1539,NAGROG,2019,2429
1540,CIBUNTU,2019,1622
1541,SUMURUGUL,2019,1710
1542,RAHARJA,2019,1469
1543,WANAYASA,2019,5204
1544,BABAKAN,2019,3853
1545,WANASARI,2019,3684
1546,LEGOKHUNI,2019,2553
1547,CIAWI,2019,3122
1548,SUKADAMI,2019,3569
1549,TARINGGUL TONGGOH,2019,3731
1550,TARINGGUL TENGAH,2019,3508
1551,JATIMEKAR,2019,3908
1552,CIKAOBANDUNG,2019,5259
1553,JATILUHUR,2019,3743
1554,CILEGONG,2019,5333
1555,KEMBANGKUNING,2019,9545
1556,CIBINONG,2019,4771
1557,PARAKANLIMA,2019,5611
1558,CISALADA,2019,7019
1559,MEKARGALIH,2019,9295
1560,BUNDER,2019,12207
1561,PUSAKAMULYA,2019,4457
1562,PARAKAN GAROKGEK,2019,2940
1563,CIRACAS,2019,2916
1564,KIARAPEDES,2019,2894
1565,CIBEBER,2019,2164
1566,SUMBERSARI,2019,1774
1567,MEKARJAYA,2019,2549
1568,MARGALUYU,2019,2735
1569,GARDU,2019,2118
1570,TARINGGUL LANDEUH,2019,2141
1571,PARUNGBANTENG,2019,2664
1572,SUKASARI,2019,3545
1573,CIRIRIP,2019,4296
1574,KERTAMANAH,2019,2109
1575,KUTAMANAH,2019,3489
1576,CIBINGBIN,2019,5060
1577,BOJONG TIMUR,2019,4149
1578,PASANGGRAHAN,2019,2189
1579,CIHANJAWAR,2019,2041
1580,CIKERIS,2019,2681
1581,BOJONG BARAT,2019,3488
1582,PANGKALAN,2019,2467
1583,SUKAMANAH,2019,2853
1584,PAWENANG,2019,2788
1585,SINDANGSARI,2019,3067
1586,SINDANGPANON,2019,5560
1587,CIPEUNDEUY,2019,4210
1588,CILEUNCA,2019,3414
1589,KERTASARI,2019,3965
1590,SINDANGKASIH,2019,20127
1591,NAGERI KIDUL,2019,14267
1592,NAGERI TENGAH,2019,12599
1593,CIPAISAN,2019,7909
1594,NAGERI KALER,2019,21293
1595,TEGALMUNJUL,2019,13115
1596,CITALANG,2019,9492
1597,MUNJULJAYA,2019,16426
1598,CISEUREUH,2019,34238
1599,PURWAMEKAR,2019,9750
1600,MARACANG,2019,7982
1601,CIWARENG,2019,8650
1602,MULYAMEKAR,2019,8932
1603,CIGELAM,2019,5954
1604,BABAKANCIKAO,2019,4561
1605,KADUMEKAR,2019,1824
1606,HEGARMANAH,2019,3065
1607,CICADAS,2019,5505
1608,CILANGKAP,2019,6266
1609,BUNGUR JAYA,2019,1445
1610,PONDOKBUNGUR,2019,2404
1611,SALEM,2019,2482
1612,GALUDRA,2019,623
1613,SUKAJADI,2019,6210
1614,TANJUNGSARI,2019,3905
1615,SALAM JAYA,2019,2214
1616,SITU,2019,1879
1617,PARAKANSALAM,2019,1378
1618,SALAM MULYA,2019,2770
1619,GURUDUG,2019,2159
1620,CIHERANG,2019,4186
1621,CIDAHU,2019,1664
1622,PASAWAHAN ANYAR,2019,2054
1623,PASAWAHANKIDUL,2019,3359
1624,SAWAH KULON,2019,5491
1625,KERTAJAYA,2019,4151
1626,LEBAKANYAR,2019,5779
1627,CIHUNI,2019,3549
1628,WARUNGKADU,2019,2642
1629,SELAAWI,2019,4659
1630,MARGASARI,2019,4610
1631,PASAWAHAN,2019,5168
1632,CIRENDE,2019,2204
1633,BENTENG,2019,3066
1634,CAMPAKA,2019,4114
1635,CAMPAKASARI,2019,4971
1636,CIJUNTI,2019,5763
1637,CISAAT,2019,3750
1638,CIMAHI,2019,5837
1639,CIKUMPAY,2019,7531
1640,CIJAYA,2019,4847
1641,KERTAMUKTI,2019,3760
